year,co2_ppm,temp_anomaly_c,sea_level_mm
1958,315.23,,
1959,315.98,,
1960,316.91,,
1961,317.64,0.209,
1962,318.45,0.034,
1963,318.99,0.164,
1964,319.62,-0.252,
1965,320.04,-0.224,
1966,321.37,0.201,
1967,322.18,-0.117,
1968,323.05,-0.122,
1969,324.62,-0.093,
1970,325.68,0.153,
1971,326.32,-0.089,
1972,327.46,-0.198,
1973,329.68,0.269,
1974,330.19,-0.182,
1975,331.13,0.088,
1976,332.03,-0.313,
1977,333.84,0.272,
1978,335.42,0.001,
1979,336.84,0.218,
1980,338.76,0.328,
1981,340.12,0.437,
1982,341.48,0.076,
1983,343.15,0.452,
1984,344.87,0.119,
1985,346.35,-0.035,
1986,347.61,0.236,
1987,349.31,0.394,
1988,351.69,0.551,
1989,353.2,0.325,
1990,354.45,0.633,
1991,355.7,0.459,
1992,356.55,0.181,4.27
1993,357.22,0.343,-20.68
1994,358.96,0.502,-16.75
1995,360.97,0.83,-6.9
1996,362.74,0.352,-7.2
1997,363.88,0.658,-3.75
1998,366.84,0.99,0.43
1999,368.54,0.777,2.76
2000,369.71,0.726,3.91
2001,371.32,0.833,4.57
2002,373.45,1.015,4.35
2003,375.98,0.895,10.54
2004,377.7,0.911,11.02
2005,379.98,1.1,6.56
2006,382.09,0.999,9.24
2007,384.02,1.19,17.4
2008,385.83,0.928,30.53
2009,387.64,0.948,24.63
2010,390.1,1.215,30.3
2011,391.85,0.913,29.85
2012,394.06,1.07,42.45
2013,396.74,1.016,35.92
2014,398.81,1.047,40.56
2015,401.01,1.407,54.13
2016,404.41,1.659,59.51
2017,406.76,1.429,51.07
2018,408.72,1.283,52.73
2019,411.65,1.435,58.96
2020,414.21,1.682,75.74
2021,416.41,1.466,78.27
2022,418.53,1.374,80.89
2023,421.08,1.767,
